순서,목록,인원,회사,감독,연두,키키,고래,콩난,귤젤리,태산,러프,태규,물망쵸,무디,내장지방,돌멩이,돌게,아마추어,찐빵,결,땅물,SUN,오네,제로,피아,동그리,바다,범신,은,소장(괄호:대여)
51,캐치 크라임 : 복덕방 살인사건,3-4인,딜라이트,완료,X,X,완료,완료,X,,완료,,,,,완료,,,,,,,X,X,,,,완료,,"감독,콩난"
52,"오늘, 벚꽃이 죽어버렸다",5인,딜라이트,X,X,,완료,완료,X,완료,완료,,,,,,,,,,,,X,X,완료,,,,,"감독,콩난"
53,파랑새,4인,딜라이트,X,X,,,완료,완료,,완료,,완료,,,완료,,,,,,,완료,완료,완료,,,,,감독
54,탁상탐정단 : 진홍의 골동품,1-4인,딜라이트,완료,완료,완료,완료,완료,완료,완료,X,,,,,완료,완료,완료,,,,,X,완료,완료,,,완료,,감독
55,탁상탐정단 : 그랜드 호텔 듀엣,1-4인,딜라이트,완료,완료,완료,완료,완료,완료,완료,완료,,,,완료,,,완료,,완료,완료,,완료,완료,완료,,,완료,,감독
56,탁상탐정단 : 너무도 많이 죽은 남자,1-4인,딜라이트,완료,완료,완료,,완료,완료,완료,X,완료,,완료,완료,,,완료,,,,,완료,완료,완료,,,완료,,감독
57,탁상탐정단 : 살인 랜드로 초대합니다,1-4인,딜라이트,완료,완료,완료,,완료,X,,X,,,,,,,,,,,완료,완료,완료,완료,,,,,감독
58,탁상탐정단 : 황혼에 웃는 소녀,1-4인,딜라이트,완료,완료,완료,,완료,X,완료,X,완료,완료,,완료,,,완료,,완료,완료,,완료,완료,완료,,,,,감독
59,탁상탐정단 : 얼굴 없는 앨리스,1-4인,딜라이트,완료,완료,완료,,X,완료,완료,완료,,,완료,,,,완료,,,,,X,X,완료,,,,,감독
60,탁상탐정단 : 레드 스마일,1-4인,딜라이트,X,X,,,,,,,,,,,,,,,,,,완료,완료,완료,,,,,감독
61,탁상탐정단 : 사신들의 진혼가,1-4인,딜라이트,완료,완료,완료,,,,완료,,,,,,,,,,,,,X,X,완료,,,,,감독
62,운명의세여신: 베르단디,4인,미스터리게임즈,완료,완료,완료,완료,완료,X,완료,완료,완료,완료,완료,완료,,,,,,,완료,완료,완료,완료,,,완료,,감독
63,운명의세여신: 스쿨드,4인,미스터리게임즈,완료,완료 ,완료,X,완료,X,완료,완료,완료,완료,완료,완료,,,,,,,완료,완료,완료,완료,,,완료,,감독
64,운명의세여신: 우르드,4인,미스터리게임즈,완료,완료,완료,X,완료,X,완료,완료,완료,완료,완료,완료,,,,,,,완료,완료,완료,완료,,,완료,,감독
65,보통의 머더 미스터리,5인,미스터리게임즈,완료,완료,완료,,완료,완료,완료,X,완료,,완료,완료,,,완료,완료,완료,완료,완료,완료,X,,완료,,완료,,"감독,콩난"
66,살인라이브,5인,미스터리게임즈,완료,완료,완료,완료,완료,X,완료,X,,,,,,,,,,,완료,완료,완료,완료,,,,,"감독,콩난"
67,그림자찾기,6인,미스터리게임즈,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,,완료,,,,,,,,완료,완료,완료,,,완료,,"감독,콩난"
68,에이다,5인,미스터리게임즈,완료,완료,완료,완료,완료,완료,완료,X,,완료,,,,,,,,,,완료,완료,완료,,,완료,,"감독,콩난"
69,데드박스,2인,미스터리게임즈,완료,완료,완료,,완료,X,,X,,,,완료,,,,,,,완료,완료,완료,,,,,,감독
70,양심의 기생 (GM.필수),3인+GM필수,미스터리게임즈,완료,X,완료,완료,완료,완료,완료,X,,완료,완료,,,,,,,,완료,완료,완료,,,,완료,,감독
71,새장 속 제비는 꿈을 꾼다,7-9인,미스터리게임즈,완료,완료,완료,완료,완료,X,완료,완료,완료,완료,,완료,,,,,완료,완료,,X,X,완료,완료,완료,,,감독
72,4명의 탐정과 물의 유령,9인,미스터리게임즈,X,X,X,,완료,X,완료,X,,,,,,,,완료,,,,X,X,완료,,,,,감독
73,숨겨진 이야기 H,4인,미스터리게임즈,X,X,,,완료,X,완료,X,,,,,,,,,,,,X,X,완료,,,,,감독
74,"개화, 꽃피우다",4인,미스터리게임즈,X,X,,,완료,X,완료,X,,,,,,,,,,,,X,X,완료,,,,,감독
75,무녀마을: 금기의 저주,6인,미스터리게임즈,완료,완료,완료,완료,완료,완료,완료,X,,완료,,,,,완료,,,,완료,X,X,완료,,,,,감독
76,Y의 장례식,4인,카드캐슬,완료,X,완료,,완료,완료,,X,,완료,완료,,,,,,,,,완료,완료,,,,완료,,감독
77,J.모리아티의 암약,4인,카드캐슬,완료,완료,완료,,완료,완료,완료,완료,,완료,완료,완료,완료,,,,완료,완료,완료,완료,완료,완료,,,완료,,감독
78,고대의 존재에게 신성모독의 제물을,4인,카드캐슬,완료,완료,완료,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,감독
79,유령섬 살인사건,4인,카드캐슬,완료,완료,,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,감독
80,유령섬 살인사건 Next loop,4인,카드캐슬,완료,완료,,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,감독
81,유령섬 살인사건 Final loop,4인,카드캐슬,완료,완료,,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,감독
82,유령섬 살인사건 Befoe loop,4인,카드캐슬,완료,완료,,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,감독
83,우주 고릴라 팬데믹!,4인,카드캐슬,X,X,,완료,완료,X,,X,,,완료,,,,,,,,,X,완료,완료,,,,,
84,몽환의 세계와 비밀의 사랑,4인,카드캐슬,완료,완료,에러플💦,,완료,X,,X,에러플💦,,에러플💦,,,,,,,,완료,완료,완료,,,,완료,,감독
85,목 베는 마을,5인,카드캐슬,완료,완료,완료,완료,완료,완료,완료,완료,,완료,,완료,완료,완료,완료,,,,완료,X,X,완료,,,완료,,"고래,감독"
86,망자의 진술,5인,카드캐슬,X,X,,,X,X,,X,,,,,,,,,,,,X,X,,,,,,
87,은하의 저편에,5-6인,카드캐슬,X,X,,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,
88,마지막 문화제,6인,카드캐슬,X,X,,완료,X,완료,,X,,,,,,,,,,,,X,X,,,,,,
89,라스트 미스틱,6인,카드캐슬,완료,완료,완료,,완료,완료,완료,X,,,,,,,,,,,,X,X,,,,,,
90,미스터리 파티 시리즈 : 구두룡 저택의 살인,7-9인,MTS 게임즈,완료,완료,완료,완료,완료,X,완료,완료,,완료,완료,,,,,,,,완료,완료,완료,완료,완료,완료,완료,,감독
91,미스터리 파티 시리즈 : 늑대인간 마을의 축제,7-8인,MTS 게임즈,완료,완료,완료,완료,완료,X,완료,완료,완료,완료,,,,,,,,,완료,완료,완료,완료,,완료,완료,,감독
92,미스터리 파티 시리즈 : 몇 번이고 푸른 달에 불을 붙였다,6-7인,MTS 게임즈,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,,완료,,완료,,,,완료,완료,완료,완료,완료,완료,완료,,감독
93,미스터리 파티 시리즈 : 용사가 죽었다,6-8인,MTS 게임즈,완료,완료,완료,완료,완료,완료,완료,X,완료,,완료,,완료,완료,완료,완료,,,완료,완료,완료,완료,완료,,완료,,감독
94,미스터리 파티 시리즈 : 죄와 벌의 도서관,5-6인,MTS 게임즈,완료,X,완료,완료,완료,완료,완료,완료,완료, ,,,,,,완료,완료,,완료,완료,완료,완료,,,완료,완료,감독
95,미스터리 파티 시리즈 : 끝나지 않은 한여름,8-9인,MTS 게임즈,완료,완료,완료,X,완료,완료,완료,완료,완료,, 완료,,,,,,,,,완료,완료,완료,,,,,감독
96,미스터리 파티 시리즈 : 다크 율에 속죄를,7-9인,MTS 게임즈,X,X,,,완료,,완료,,,,,,,,,완료,,,,X,X,완료,,,,,감독
97,미스터리 파티 시리즈 : 게놈의 탑,7인,MTS 게임즈,X,X,,완료,완료,,,완료,,,,,,,완료,완료,,,,완료,완료,완료,,,완료,,"감독, 귤젤리"
98,미스터리 파티 시리즈 : 마녀는 황혼의 종에 사라진다,6-7인,MTS 게임즈,완료,완료,완료,,완료,,완료,,,,,,완료,,,완료,,,,완료,완료,완료,,완료,,,감독
99,"미스터리 파티 시리즈 : 기상천외, 암네시아",7인,MTS 게임즈,X,X,,,,,,,,,,,,,완료,,,,,X,X,완료,,,,,감독
100,미스터리 파티 시리즈 : 흰 까마귀. 붉게 물들다,6-7인,MTS 게임즈,X,X,,,,,,,,,,,완료,,완료,,,,,X,X,완료,,,,,감독
101,미스터리 파티 시리즈 : 강변 밤의 꿈,6-7인,MTS 게임즈,X,X,,,,,,,,,,,,,,,,,,X,X,완료,,,,,감독
102,미스터리 파티 시리즈 : 머더 미스터리 오브 더 데드,7-8인,MTS 게임즈,X,X,완료,,,,,,,,,,,,,,,,,완료,완료,완료,,,,,감독
103,미스터리 파티 시리즈 : 별빛 하늘에 소망을,6-7인,MTS 게임즈,X,X,,,,,완료,,,,,,,,,,,,,X,X,완료,,,,,감독
104,미스터리 파티 시리즈 : 알바트로스의 황금비,5-6인,MTS 게임즈,완료,완료,완료,,,,완료,,,,,,,,,,,,,완료,X,완료,,,,,감독
105,죽음을 잇는 저택 신전,4인,Hoodied,완료,완료,완료,,완료,X,,X,,,,,,,,,,,완료,X,X,,,,,,감독
106,"파란, 배신의 물결",4인,,완료,완료,완료,,완료 ,,,,완료,,,,,완료,,완료,,,,완료,X,완료,,,,,감독
107,화가의 마지막 메시지,4인,,완료,완료,,,완료 ,,,,,,,완료,,,,,,,완료,X,X,완료,,,완료,,감독
108,버틀런트 저택의 비밀,7인,사건의 지평선,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,,,,X,X,완료,,,완료,,감독
109,사라진 왕관,3인,,X,X,,,완료 ,,,,,,,,,,,,,,,X,X,,,,,,감독
110,S의 죽음,3인,사건의 지평선,완료,X,,,X,X,,X,,,,,,,,,,,,X,X,,,,,,감독
111,백귀야행,6인,사건의 지평선,완료,완료,완료,,X,완료,완료,완료,완료,완료,,,완료,완료,완료,완료,,,완료,완료,완료,,,,,,감독
112,햇살고아원,6인,사건의 지평선,X,X,,,X,완료,완료,X,,완료,,,,,,,,,,완료,완료,,,,,,감독
113,최후의 마을,7인,사건의 지평선,완료,X,완료,,완료,완료,완료,완료,완료,완료,,,완료,완료,완료,완료,,,,완료,완료,완료,,,,,"감독, 콩난"
114,보물섬,7인,사건의 지평선,완료,완료,완료,,완료,완료,완료,완료,완료,완료,,,완료,,,완료,,,,예정,예정,완료,완료,완료,완료,,"감독, 콩난"
115,서스펙트 게임 : J의 비극,4인,코리아보드게임즈,완료,완료,완료,완료,완료,완료,,X,완료,,,,,,,,,,,완료,완료,,,완료,완료,,"감독,귤젤리"
116,서스펙트 게임 : 먹이사슬,4인,코리아보드게임즈,완료,완료,,완료,완료,X,,X,완료,,,,,,,,,,,완료,완료,,,완료,완료,,"감독,귤젤리"
117,서스펙트 게임 : 증명종료,4인,코리아보드게임즈,X,완료,,완료,완료,X,완료,X,완료,,,,,,,,,,,완료,완료,,,,,,"감독,귤젤리"
118,서스펙트 게임 : 카르텔,4인,코리아보드게임즈,X,완료 ,,완료,완료,X,완료,X,완료,,,,,,,,,,,완료,완료,,,,,,"감독,귤젤리"
119,서스펙트 게임 리로드,3인,코리아보드게임즈,완료,완료,완료,완료,완료,완료,완료,X,완료,,완료,완료,완료,,,완료,완료,완료,,완료,완료,,,,,,"감독,귤젤리"
120,알리바이 : 나일강 살인사건,4-6인,코리아보드게임즈,X,X,완료,,완료,X,완료,X,완료,,,,,,,,,,,X,X,,,완료,,,"감독,귤젤리"
121,알리바이 : 마지막 한 입,4-6인,코리아보드게임즈,X,X,,,완료,X,,X,완료,,,,,,,,,,,X,X,,,,,,"감독,귤젤리"
122,알리바이 : 명문가에 흐르는 피,4-6인,코리아보드게임즈,X,X,,,완료,X,,X,완료,,,,,,,,,,,X,X,,,,,,"감독,귤젤리"
123,미스터리 포켓 : 막이 내리다,1-6인,코리아보드게임즈,완료,완료,완료,완료,완료,X,완료,X,,,완료,,,,,,,,,X,X,,,,,,"감독,귤젤리"
124,전지적 추리 시점,2-4인,코리아보드게임즈,완료,X,완료,,완료,완료,완료,,완료,,완료,,,,,,,,,X,X,완료,,,,,귤젤리
125,뻐꾸기 새X는 울지 않는다,5인,프로젝트 고구마,완료,X,완료,완료,완료,X,완료,완료,,,완료,,,완료,,,,,완료,X,X,,,완료,완료,,"감독, 고래"
126,해피쏘머치,4인,프로젝트 고구마,완료,X,완료,,완료,X,완료,완료,,,,완료,완료,,,,완료,완료,,X,X,완료,,,완료,,감독
127,비더리타,5인,프로젝트 고구마,완료,X,완료,,완료,X,완료,X,완료,완료,완료,갓겜,완료,,,,완료,완료,,X,X,,,,완료,,감독
128,BUT,5인,프로젝트 고구마,완료,X,,,완료,완료,완료,완료,,완료,,,,,,,,,,완료,완료,,,,,,감독
129,그렇게 X는 다시 태어났다,5인,프로젝트 고구마,X,X,완료,완료,X,X,완료,X,,완료,,,완료,,완료,,,,,X,X,,,,,,감독
130,Disaster,3-4인,Deepmurder,완료,완료,완료,,완료,완료,완료,완료,완료,,,완료,완료,,,,,,,X,X,,,,완료,,감독
131,Terror : 욕심,1-4인,Deepmurder,X,X,,,X,X,완료,X,완료,,,,완료,,,,,,,X,X,,,,,,감독
132,Terror : 헌신,1-4인,Deepmurder,X,X,,,완료,X,완료,X,완료,,,,완료,,,,,,,X,X,,,,,,감독
133,얼어붙은 당신에게 6개의 등불을,6인,히트 게임즈(HIT Games),X,X,,,완료,X,완료,X,,완료,완료,,완료,,완료,완료,,,,완료,완료,,,,,,감독
134,마법학교의 혼혈아들이 금지된 마도서를 해독하려다 모두 죽은 사건,6인,히트 게임즈(HIT Games),X,X,완료,,완료,X,완료,X,완료,,,,완료,,,완료,,,,완료,완료,,,,,,감독
135,기명은 귀록에 두 번 오른다,4인,히트 게임즈(HIT Games),X,X,,,완료,X,,X,,,,,,,,,,,,X,X,,,,,,감독
136,바앤 호텔,4인,골든미스트,완료,X,X,완료,완료,X,,X,,,,,,,,,,,완료,X,X,,,,,,감독
137,암흑과 흑막,4인,골든미스트,완료,X,X,완료,완료,X,,X,,,,,,,,,,,완료,X,X,,,,,,감독
138,사라진 수영복과 하늘을 나는 물고기,5인,아이프롬 게임즈,완료,완료,완료,완료,완료,X,완료,X,완료,,,,완료,,,,,,,X,X,,완료,완료,,,"감독,콩난"
139,로나에나 -재앙의 선물,5인,아이프롬 게임즈,완료,X,완료,,완료,X,완료,X,,,,완료,,,,,,,,X,X,,,,,,"감독,콩난"
140,"빨간모자,무도회에서 시체와 만나다",4인,아이프롬 게임즈,X,X,,,X,완료,,X,,,,,,,,,,,,X,X,,,,,,감독
141,탐정사무소 1 오페라 살인사건,4-5인,퍼즐팩토리,완료,완료,완료,,완료,X,,완료,,,,,,,,,,,,X,완료,완료,,,,,"감독,콩난"
142,탐정사무소 2 섬마을 살인사건,4인,퍼즐팩토리,완료,완료,완료,,완료,X,,X,,,완료,,완료,,,,,,,X,완료,완료,완료,,,,"감독,콩난"
143,미스터리 로얄 CASE 01 : 헌티드 할로우 호텔,1-4인,다이브시어터,X,X,,,X,X,,X,,,,,,,,,,,,X,X,,,,,,감독
144,미스터리 로얄 CASE 02 : 메이즈 뮤지엄,1-4인,다이브시어터,X,X,,,X,완료,완료,X,,,,,,,,,,,,X,X,,,,,,"감독,귤젤리"
145,미스터리 로얄 CASE 03 : 크리피 크레이지 크루즈,1-4인,다이브시어터,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
146,미스터리 로얄 CASE 04 : 데드맨즈 더블 다운,1-4인,다이브시어터,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
147,해독불가 트로이메라이,3인,다이브시어터,완료,완료 ,완료,,완료,완료,완료,완료,완료,,완료,완료,,,,,완료,완료,완료,완료,완료,,,,완료,,"감독, 귤젤리"
148,블루 노트보다 창백한,5인,다이브시어터,X,X,,,,,,,,,,,,,,,,,,X,X,완료,,,,,"감독, 귤젤리"
149,"실험실, 소란",4인,BTF,완료,X,완료,,완료,X,완료,X,완료,,,,,,,,,,완료,완료,완료,,,,,,"감독,콩난"
150,기억저장장치,4인,BTF,완료,X,완료,완료,완료,완료,완료,완료,,,,,,,,,,,완료,완료,완료,,,,완료,,감독
151,주마등은 흰색으로 빛난다,3인,BTF,완료,X,완료,,완료,X,완료,X,,,,완료,,,,,완료,완료,,완료,완료,,,,완료,,감독
152,작가와의 만남,5인,두유게임즈,X,X,완료,,완료,X,완료,X,,,완료,,,,,,,,완료,X,X,,,,,,감독
153,불꽃놀이,5인,두유게임즈,X,X,완료,,완료,X,완료,X,,,완료,,,,,,,,완료,X,X,,,,,,감독
154,DEJAVU,3인,소하,완료,완료,X,,완료,완료,완료,완료,,,,완료,,,,,완료,완료,,완료,완료,,,,완료,,감독
155,저승으로부터의 편지,4인+GM필수,소하,완료,X,완료,완료,완료,완료,완료,완료,,완료,,,완료,,완료,,,,,X,X,,,,,,감독
156,별빛 우주 페러렐 라인,5인,Brown Studio,완료,X,완료,,완료,완료,완료,완료,완료,,,,,,,,,,완료,X,X,,,,,,감독
157,기울어진 천칭의 운명,4인,Brown Studio,완료,완료,완료,,완료,완료,완료,완료,,완료,,,,,완료,,,,완료,X,X,,,,,,감독
158,0719: 낙하를 향하는 두 개의 수,4인,Brown Studio,X,X,,,완료,X,완료,X,,,,,,,,완료,,,,X,X,완료,,,,,감독
159,DDG 미스터리 시리즈 : 산중호걸,4-5인,두더지게임즈,완료,X,완료,,완료,완료,완료,X,완료,,완료,,완료,,,,,,,완료,완료,,,,,,감독
160,DDG 미스터리 시리즈 : 테러라이즈,4-5인,두더지게임즈,완료,완료,완료,,완료,완료,,X,,,,,완료,,완료,,,,,X,X,,,,,,감독
161,DDG 미스터리 시리즈 : 552111152,5-6인,두더지게임즈,완료,완료,완료,완료,완료,완료,완료,완료,완료,완료,,완료,완료,,,,완료,완료,,X,X,,,,,,감독
162,무경고등학교,6인,보틀링컴퍼니,완료,완료,완료,X,완료,완료,완료,완료,완료,완료,,완료,완료,,완료,,완료,완료,,X,X,,,,완료,,"감독, 콩난, 귤젤리"
